what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164487010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335164494694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335164519827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164523524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164525584
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335164529370
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1335164541851
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335164541944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164547457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164551353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164557287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164582009
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335164593582
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335164593627
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335164610691
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1335164617069
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1335164618395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1335164622029
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1335164623499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335164624550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1335164629035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335164629404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335164652908
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1335164658079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164665282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164665441
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335164688298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164691558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164731627
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335164734537
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1335164752898
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335164752988
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1335164789026
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1335164803730
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1335164810201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164811898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164830939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164832836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164834427
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1335164834430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1335164834430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164838636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164845951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164851642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164855116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164864515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164868665
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1335164868669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164872972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164876168
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1335164876172
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1335164876172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164879519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335164884657
